image_id,image_folder,image_filename,source_relpath,caption
Nou 048,cave1,C01-Mara_s Episode-Nou048.jpg,01-Cave (3.8 MB)\C01-Mara_s Episode-Nou048.jpg,"Temptations of the Buddha — Cave 1, 5th century AD"
Nou 073,cave1,C01-Women in Palace-Nou73.jpg,01-Cave (3.8 MB)\C01-Women in Palace-Nou73.jpg,"Queen in a Palace Scene — Cave 1, period of decline"
Nou 076,cave1,C01-NagaCourt-Nou076.jpg,01-Cave (3.8 MB)\C01-NagaCourt-Nou076.jpg,Palace Scene of the Naaga Kingdom — Cave 1
Nou 133,cave2,C02-Images of Buddha-Nou133.jpg,02-Cave (2.3 MB)\C02-Images of Buddha-Nou133.jpg,"Images of the Buddhas — Cave 2, 4th century AD"
Nou 137,cave2,C02-VidhuraJataka-VidhuraLeaving-Nou137.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-VidhuraLeaving-Nou137.jpg,Departure of Vidhura-pandita — Cave 2
Nou 161/162,overview,C17-Buddhas&Mithunas at Entrance(Middle)-Nou160-161.jpg,17-Cave (14.0 MB)\C17-Buddhas&Mithunas at Entrance(Middle)-Nou160-161.jpg,
Nou 192,cave17,C17-MatriJataka-Nou192.jpg,17-Cave (14.0 MB)\C17-MatriJataka-Nou192.jpg,"Capture, Freedom and Reunion — Maatri-poshaka Jaataka, Cave 17"
Nou 197,cave17,C17-Tushita-Panel-Nou197.jpg,17-Cave (14.0 MB)\C17-Tushita-Panel-Nou197.jpg,Buddha preaches to the Congregation — Cave 17
Nou 207,cave17,C17-MahishaJataka-Nou207.jpg,17-Cave (14.0 MB)\C17-MahishaJataka-Nou207.jpg,"Mahisha Jaataka — Cave 17, 5th century AD"
Nou 210,overview,View of Caves (Part)-Nou210.jpg,00-Cave(views)\View of Caves (Part)-Nou210.jpg,A View of the Caves — Ajanta
Nou 212,cave19,C19-Naga Couple(Sculpture)-Nou212.jpg,19-Cave\C19-Naga Couple(Sculpture)-Nou212.jpg,"Naaga Couple — sculpture, Cave 19"
Nou 215,cave26,C26-Parinirvana(Full)-Nou215.jpg,26-Cave\C26-Parinirvana(Full)-Nou215.jpg,"Mahaa-parinirvaana — colossal reclining Buddha, Cave 26"
asi 028,overview,C01-Ceiling-Elephant(Trimmed)-ASI28.jpg,01-Cave (3.8 MB)\C01-Ceiling-Elephant(Trimmed)-ASI28.jpg,
asi 030,overview,C01-Ceiling-ChargingBull-ASI30.jpg,01-Cave (3.8 MB)\C01-Ceiling-ChargingBull-ASI30.jpg,
asi83,overview,C17-Ceiling-Rectangle-ASI83.jpg,Asi_reduced (3.8 MB)\C17-Ceiling-Rectangle-ASI83.jpg,
kbl 091,overview,C01-MahajanakaJataka-Dancer-BB091.jpg,01-Cave (3.8 MB)\C01-MahajanakaJataka-Dancer-BB091.jpg,
kbl 132,overview,C02-VidhuraJataka-Game-BB132.jpg,02-Cave (2.3 MB)\C02-VidhuraJataka-Game-BB132.jpg,
kbl 157,overview,C17-InteriorView-BB157.jpg,17-Cave (14.0 MB)\C17-InteriorView-BB157.jpg,
kbl 159,overview,C17-VisvantaraJataka-Almsgiving-BB159.jpg,17-Cave (14.0 MB)\C17-VisvantaraJataka-Almsgiving-BB159.jpg,
kbl 164,overview,C17-AdoringBuddha-Indra-BB164.jpg,17-Cave (14.0 MB)\C17-AdoringBuddha-Indra-BB164.jpg,
kbl 174,overview,C17-Ceiling-RecliningBulls-BB174.jpg,17-Cave (14.0 MB)\C17-Ceiling-RecliningBulls-BB174.jpg,
kbl 227R,overview,C17-ShibiJataka-Woman1-BB227.jpg,17-Cave (14.0 MB)\C17-ShibiJataka-Woman1-BB227.jpg,
line 13,line_sketches,C17-MatriJataka-SNYL.jpg,LineDrgs_reduced (2.8 MB)\C17-MatriJataka-SNYL.jpg,
mjt 097,overview,C02-HamsaJataka-Gate-MJT097.jpg,02-Cave (2.3 MB)\C02-HamsaJataka-Gate-MJT097.jpg,
nou 155,overview,C17-Ceiling-Six Figures-Nou155.jpg,17-Cave (14.0 MB)\C17-Ceiling-Six Figures-Nou155.jpg,
nou 197,overview,C17-Tushita-Panel-Nou197.jpg,17-Cave (14.0 MB)\C17-Tushita-Panel-Nou197.jpg,
nou 212,overview,C19-Naga Couple(Sculpture)-Nou212.jpg,19-Cave\C19-Naga Couple(Sculpture)-Nou212.jpg,
